Study Area,XRF_Setting,Sample_Type,Source_Zone,Source_Specific,Sample_ID,Rb_ppm,Sr_ppm,Y_ppm,Zr_ppm,Nb_ppm,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_78,167.6,45.4,37.5,173.6,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_79,131.2,34.2,35.2,154.5,12.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_8,139.9,36.0,35.6,158.6,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_80,137.5,37.7,34.3,152.3,10.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_81,153.5,40.6,40.6,174.8,10.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_82,148.7,39.6,41.3,171.2,10.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_83,145.8,36.5,36.8,217.1,11.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_84,165.4,43.5,43.9,201.9,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_85,137.6,43.9,36.6,171.5,12.2,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_86,146.7,39.1,38.6,205.7,9.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_87,130.4,32.3,37.7,162.6,11.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_88,149.0,46.1,38.9,188.2,11.3,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_9,145.4,37.8,36.0,151.5,12.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_90,146.6,37.1,40.9,157.2,11.1,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_91,140.4,40.8,40.8,150.9,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_92,157.4,44.8,39.1,165.9,10.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_93,145.6,39.3,34.7,153.9,9.9,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_94,146.4,41.9,40.7,157.7,12.4,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_95,147.1,42.7,39.8,162.6,11.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_96,127.8,38.1,32.9,147.9,10.7,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_98,156.2,43.0,35.8,188.1,11.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_59_99,131.3,32.7,36.3,159.1,11.5,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_6,140.3,37.1,42.0,194.0,12.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_60,107.6,30.0,32.1,143.3,10.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_7,169.1,40.7,43.6,183.5,13.0,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_8,153.5,39.1,37.2,178.2,12.8,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_21_9,158.4,43.5,38.6,164.3,10.6,,,,
Helena Bay,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,HB_FS_22,103.1,27.9,30.7,120.4,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Huruiki,AR 4020b,128.6,35.2,35.0,155.7,11.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_1_1,123.6,9.1,101.5,1079.3,83.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_11_1,151.2,12.1,101.0,1078.3,81.5,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_23_2,135.2,9.4,107.7,1149.5,82.1,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_3_1,139.8,6.5,118.1,1280.7,95.2,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_30_1,149.2,8.9,113.8,1211.9,89.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_1,154.7,7.5,127.7,1398.3,106.1,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_2,156.5,7.9,127.2,1330.8,92.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_31_3,170.5,8.1,136.4,1332.2,104.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_32_2,123.5,9.2,113.0,1199.9,94.3,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_33_1,151.8,8.6,101.0,1141.4,87.2,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_4_1,141.0,9.4,122.7,1318.5,96.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_4_2,142.3,8.3,118.1,1379.1,107.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_8_1,123.2,9.0,108.6,1081.5,71.7,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_82_1,133.4,9.4,106.4,1180.4,92.5,,,,
Bream Head,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,BH_FS_9_1,140.3,6.5,102.1,1136.5,86.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3977,137.7,7.4,103.2,1130.6,86.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3978,140.4,7.9,110.5,1174.7,84.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3986,139.1,6.8,107.9,1133.8,91.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR3999,151.3,9.0,117.7,1387.8,107.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4002,136.9,9.2,118.6,1309.1,97.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4003,141.2,6.6,121.4,1309.6,100.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4007,148.2,6.6,114.5,1193.5,87.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4008,137.3,8.2,112.3,1183.9,84.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4018b,148.3,9.2,105.5,1184.2,89.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,AR4019,137.5,8.5,113.4,1185.3,82.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,MW002b,134.6,8.8,103.9,1123.0,86.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,MW008b,123.5,9.8,102.0,1139.4,84.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,MW024a,154.7,9.4,133.8,1416.7,104.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,MW024b,138.6,9.8,136.8,1316.1,100.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,Mayor Island,Mayor Island,MW024c,148.3,9.8,130.1,1362.2,100.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,TVZ,Rotorua,AR 4010,120.7,66.2,28.0,134.6,9.4,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,BH_FS_10_1,202.2,23.9,40.2,135.0,7.8,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,BH_FS_23_4,193.0,25.9,39.8,132.3,9.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,BH_FS_29_1,194.4,33.6,33.3,140.8,7.9,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,BH_FS_32_1,193.0,28.4,39.5,139.1,9.0,,,,
Bream Head,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,BH_FS_32_3,193.2,22.6,36.9,130.1,5.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3976,183.3,25.4,34.4,131.4,11.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3979,181.1,23.0,35.7,125.7,10.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3980a,199.8,26.6,36.0,147.0,9.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3984,186.5,27.1,37.8,137.2,10.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3985,200.2,32.0,29.6,137.8,11.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3987,185.6,24.4,39.1,135.2,10.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3990,187.7,23.9,31.5,129.2,9.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3994,179.8,33.2,35.8,135.8,8.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3995,212.5,26.0,30.9,144.6,9.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 3997,201.9,28.1,33.1,130.9,9.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4000,195.9,25.6,38.6,145.9,9.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4001a,196.3,32.6,36.5,142.1,10.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4012,197.1,28.8,32.6,142.0,8.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4013,195.2,26.8,40.3,132.7,9.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4015a,196.4,31.6,38.6,137.2,11.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4015b,199.3,23.5,36.6,138.5,10.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4016a,206.3,28.5,37.6,141.0,10.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4016b,231.9,28.7,37.1,139.4,10.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4016c,201.7,26.9,34.7,144.5,7.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4016d,190.5,25.4,37.4,130.6,7.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4016e,184.0,25.6,34.8,130.9,10.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4017a,195.8,25.5,34.5,142.1,8.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4017b,197.9,24.8,36.8,139.5,12.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4017d,191.1,25.5,38.0,135.0,9.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4017e,209.5,26.5,34.9,139.5,7.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4017h,208.2,27.4,35.8,138.1,9.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4018a,200.6,29.2,39.0,136.8,11.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4020a,199.0,35.2,31.6,152.1,12.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4021a,208.2,28.4,37.6,134.8,7.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4021b,208.5,25.5,37.2,140.9,10.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4022a,205.5,35.5,37.7,144.8,9.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4024,211.9,29.2,35.0,137.8,13.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4025a,190.6,25.1,35.8,130.3,10.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4025c,213.5,24.8,35.6,137.7,11.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4025d,195.0,28.0,37.1,138.6,9.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4025g,193.7,22.4,32.0,130.3,6.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4025h,191.4,31.0,29.6,136.8,9.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4026a,189.7,26.2,36.2,135.4,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4027a,189.1,25.4,33.2,134.6,10.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4028a,209.8,26.5,36.0,136.8,10.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4028b,180.7,29.6,33.4,133.8,7.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4028c,200.4,36.5,33.6,135.7,7.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4028d,191.2,33.8,32.3,143.2,9.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4028e,211.7,29.5,38.8,140.4,9.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4029a,224.1,25.4,36.4,144.0,10.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4029b,200.4,30.9,28.6,133.8,11.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4029c,184.4,25.4,39.8,130.4,7.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4030a,210.2,34.0,31.0,141.8,7.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4030c,187.4,23.3,35.3,142.3,7.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4030f,210.8,28.3,36.9,139.7,8.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4030h,190.8,26.4,37.0,133.2,9.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4030i,195.7,30.3,31.7,137.7,7.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4031a,196.7,24.9,31.7,124.9,8.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4031b,189.2,25.2,35.7,127.0,10.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4032a,193.0,24.5,34.3,132.2,11.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4032b,184.1,22.9,35.3,130.0,8.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4032c,206.3,24.9,39.2,143.9,11.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033a,194.5,23.7,36.2,135.4,6.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033b,186.5,23.9,33.8,132.9,12.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033c,244.0,30.1,39.6,152.4,13.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033d,205.7,27.6,40.3,129.9,7.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033e,204.1,27.6,37.2,147.7,8.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4033f,211.0,37.1,36.3,145.5,9.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4041a,208.2,28.0,38.7,140.8,11.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4041b,212.5,28.8,39.8,138.2,10.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4041c,201.6,26.1,40.5,142.2,7.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4041d,227.9,28.6,37.5,143.3,9.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4044a,187.0,25.3,38.2,129.5,8.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4044b,180.0,20.3,30.9,124.2,7.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4045,206.8,28.6,32.1,140.8,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4048,204.5,29.3,35.2,134.1,10.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,AR 4050a,200.2,33.0,33.6,146.4,10.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 0007b,191.8,25.1,35.6,132.0,9.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 001,187.0,32.1,32.8,138.3,11.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 002a,192.9,23.8,34.5,133.5,9.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 004,180.4,23.5,36.3,131.1,5.6,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 005,199.8,26.3,39.1,149.6,9.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 006,194.7,30.5,38.1,131.7,10.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 007a,180.3,22.6,31.0,130.6,10.7,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 007c,206.7,28.8,36.7,136.5,8.1,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 008a,203.8,34.1,36.7,152.6,11.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 008c,195.1,27.0,34.2,133.7,9.0,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 009,223.7,30.2,31.6,136.0,8.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 010,193.8,23.0,35.9,137.0,8.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 012,220.3,26.2,38.5,138.9,6.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 014c,210.4,31.6,34.8,141.5,8.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 014f,193.1,29.2,40.7,142.9,9.4,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 014g,194.7,32.2,31.3,143.2,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 014p,195.4,33.4,29.9,137.5,9.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 015,189.7,26.2,34.5,127.3,11.2,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 016,198.8,27.5,39.4,140.7,8.5,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 019,218.2,28.2,30.2,137.7,7.8,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 021,187.0,24.4,35.4,128.7,8.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 025,212.5,26.1,35.8,139.6,11.3,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 027,209.1,33.4,36.6,153.1,9.9,,,,
Mt Wellington,Green filter 40kv 8ma,Artefact,CVZ-N,Te Ahumata,MW 029,204.7,35.1,30.8,140.5,6.5,,,,

